Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
2/14/18,400.5,434,391.25,,,10.17,34,69,36.5,21.3,38.4,30.1
2/13/18,398,430.75,389,,,10.12,34,#N/A,36.6,21.2,38.4,30.1
2/12/18,,428.5,387,,,10.02,37,#N/A,36.9,21.2,38.8,30.3
2/9/18,,423.75,382.75,,,9.83,34,70,37.1,21.4,39.0,30.6
2/8/18,385.75,420.25,377,,,9.88,36,71,37.6,21.4,39.6,30.8
2/7/18,387,420,377,,,9.83,36,72,37.9,21.5,40.0,31.5
2/6/18,387,420,377.75,,,9.86,35,69,38.4,21.8,40.6,31.7
2/5/18,385,417,375.5,,,9.70,37,70,38.7,22.0,40.9,32.2
2/2/18,381,414.25,371.75,,,9.79,41,66,38.8,21.9,41.1,32.4
2/1/18,383.5,417,374.5,,,9.85,38,70,38.8,22.0,41.0,32.7
1/31/18,388.75,420,378,,,9.96,38,57,39.3,22.4,41.6,32.7
1/30/18,389,424,379.75,,,10.00,36,59,39.7,22.6,42.1,33.3
1/29/18,391.5,426.5,381.5,,,9.92,35,60,36.6,20.3,42.6,33.7
1/26/18,387.75,423.5,378,,,9.86,36,#N/A,40.2,23.0,42.7,33.7
1/25/18,386.75,422,377.25,,,9.92,35,#N/A,40.0,22.6,42.4,33.7
1/24/18,390,423,380.5,,,9.92,33,59,39.8,22.9,42.1,33.3
1/23/18,388,420,380,,,9.86,32,73,39.2,22.5,41.5,32.9
1/22/18,386.75,416,379,,,9.84,38,75,38.8,22.4,41.1,32.5
1/19/18,387.75,415.5,378.75,,,9.77,38,75,38.6,22.3,40.8,32.2
1/18/18,387.5,415.5,377,,,9.73,38,82,38.4,21.8,40.6,32.0
1/17/18,384.75,414,375.25,,,9.69,41,73,38.6,22.1,40.8,32.1
1/16/18,381.5,410.5,374.25,,,9.68,44,74,38.7,22.2,40.9,32.4
1/12/18,381.5,410,373.75,,,9.61,48,81,39.0,22.3,41.2,32.5
1/11/18,378.75,409,369.75,,,9.50,48,80,39.0,22.3,41.3,32.7
1/10/18,378,407.5,368.25,,,9.55,40,84,39.3,22.7,41.6,32.8
1/9/18,378,406.25,368.25,,,9.64,42,79,39.4,22.7,41.8,33.0
1/8/18,381.75,410,372.25,,,9.67,40,86,39.4,22.5,41.8,33.0
1/5/18,383.5,411.5,372.5,,,9.71,46,81,39.1,22.3,41.4,32.7
1/4/18,386.5,415.75,376.75,,,9.68,46,80,38.6,22.0,40.8,32.2
1/3/18,383.75,411.5,372.5,,,9.69,43,79,38.1,21.8,40.2,31.7
1/2/18,382,409.25,370.25,,,9.65,36,79,38.1,21.8,40.2,31.7
12/29/17,381.25,408.5,369.5,,,9.62,48,#N/A,38.6,22.0,40.9,32.3
12/28/17,379.25,407.75,366.75,,,9.57,44,77,38.6,21.9,40.8,32.2
12/27/17,378.25,405.25,365.5,,,9.68,41,78,38.6,21.9,40.8,32.2
12/22/17,382.25,409.25,369.5,,,9.50,36,90,38.4,21.7,40.5,32.2
12/21/17,380.25,408.25,367.25,,,9.49,35,85,38.7,21.9,40.9,32.3
12/20/17,379.25,407.25,366.25,,,9.54,33,83,39.2,22.3,41.5,32.8
12/19/17,380.75,408.5,367.5,,,9.56,33,78,39.4,22.4,41.7,32.9
12/18/17,380.75,408.5,367.5,,,9.62,32,78,39.7,22.5,42.0,33.3
12/15/17,382.5,409.25,368.25,,,9.67,25,83,40.0,22.7,42.3,33.5
12/14/17,383.25,411,370.5,,,9.68,33,74,40.4,23.0,42.8,33.9
12/13/17,385,411,371.5,,,9.79,20,81,40.6,23.0,43.0,34.1
12/12/17,386,413.5,374.5,,,9.76,19,83,40.3,22.8,42.7,33.8
12/11/17,386.5,414,375,,,9.83,16,85,39.6,22.6,41.9,33.1
12/8/17,387.75,416,375,,,9.90,14,82,39.3,22.5,41.5,32.8
12/7/17,389,419,378,,,9.92,16,81,39.1,22.3,41.3,32.6
12/6/17,388.5,420.75,380.75,,,10.03,13,78,39.4,22.4,41.6,32.9
12/5/17,391.5,423.5,383.5,,,10.09,13,82,39.4,22.6,41.6,32.9
12/4/17,395.5,428,388,,,9.99,20,79,39.3,22.5,41.6,32.9
12/1/17,392.25,424.25,384.25,,,9.94,26,79,38.8,22.2,40.9,32.3
11/30/17,389.5,422.5,382.5,,,9.86,15,86,38.1,21.8,40.2,31.6
11/29/17,387,420.5,380.5,,,9.93,20,82,37.4,21.5,39.4,31.0
11/28/17,390,424.5,384.5,,,9.93,20,86,37.1,21.1,39.0,30.7
11/27/17,388.5,426,383,,,9.96,20,83,36.9,21.0,38.8,30.5
11/24/17,390,427.25,384.25,,,9.93,20,78,36.9,21.0,38.8,30.5
11/22/17,392.5,428,386,,,9.97,19,84,36.9,20.9,38.9,30.5
11/21/17,391.5,427.25,385.25,,,9.89,21,78,36.9,20.9,38.8,30.5
11/20/17,388.75,424.75,382.75,,,9.90,18,78,37.0,21.0,39.0,30.6
11/17/17,387.75,424.25,382.25,,,9.91,23,78,37.0,21.0,38.9,30.5
11/16/17,387.5,424,382,,,9.72,25,83,37.1,21.1,39.1,30.7
11/15/17,382,421,378,,,9.76,#N/A,#N/A,37.2,21.2,39.2,30.9
11/14/17,382,420,376,,,9.68,#N/A,#N/A,37.7,21.3,39.8,31.3
11/13/17,380,417.5,374.5,,,9.74,29,82,38.0,21.5,40.1,31.7
11/10/17,383.5,417,375,,,9.87,#N/A,#N/A,38.4,21.6,40.5,32.0
11/9/17,389,421,379,,,9.85,17,76,38.7,21.8,40.9,32.3
11/8/17,388,418,376,,,9.99,13,78,39.4,21.9,41.7,33.0
11/7/17,388.25,418,379,,,9.96,19,77,39.6,22.1,41.9,33.1
11/6/17,386,414,377.5,,,9.94,17,78,39.9,22.2,41.9,32.9
11/3/17,385,412.5,374.75,,,9.87,9,77,39.7,22.1,41.7,32.9
11/2/17,384,410.5,373.5,,,9.99,9,#N/A,39.4,22.0,41.4,32.6
11/1/17,383,418,375,,,9.91,10,67,38.9,21.6,40.8,32.1
10/31/17,382,419,374,,,9.85,23,76,38.7,21.5,40.6,31.9
10/30/17,380,420,374,,,9.73,21,87,35.0,20.2,40.5,31.6
10/27/17,378,417.75,372,,,9.75,#N/A,#N/A,34.8,20.4,40.4,31.7
10/26/17,378,417.25,374,,,9.71,#N/A,#N/A,35.2,20.7,40.8,32.1
10/25/17,382,420,376,,,9.76,13,88,35.4,21.0,41.0,32.3
10/24/17,384,421.5,378,,,9.76,#N/A,#N/A,35.7,21.4,41.4,32.6
10/23/17,385,422.25,381,,,9.81,#N/A,#N/A,39.5,22.1,41.5,32.6
10/20/17,386,424.75,382,,,9.79,15,90,35.7,21.5,41.4,32.7
10/19/17,389,424.5,381,,,9.87,20,90,36.1,21.3,41.9,33.1
10/18/17,389,423.5,381,,,9.84,22,91,36.2,21.3,42.0,33.2
10/17/17,388,420,376,,,9.85,26,88,36.3,21.2,42.2,33.3
10/16/17,388,421.5,378,,,9.91,25,85,40.2,22.6,42.2,33.2
10/13/17,386,423,382,,,10.00,25,81,35.9,21.0,41.6,32.8
10/12/17,391,421.75,382,,,9.92,22,#N/A,35.3,20.7,40.9,32.2
10/11/17,390,414,372,,,9.65,18,89,34.8,20.3,40.3,31.7
10/10/17,382,414,372,,,9.66,21,85,38.4,21.6,40.2,31.6
10/9/17,379,410.5,369,,,9.67,26,85,38.3,21.5,40.1,31.4
10/6/17,379,408,367,,,9.72,26,86,38.0,21.4,39.7,31.1
10/5/17,377,405,364.5,,,9.68,31,87,37.3,21.0,39.0,30.5
10/4/17,374,405,364.5,,,9.58,34,88,36.4,20.7,38.1,29.8
10/3/17,374,404,364,,,9.55,34,91,36.4,20.6,38.1,29.8
10/2/17,375.5,402.5,363,,,9.57,50,90,36.7,20.7,38.4,30.1
