Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
7/16/19,360.75,403.5,349.75,357.25,346.75,9.06,58,65,48.8,28.2,52.6,39.2
7/15/19,363.75,404.5,355,362.25,352.75,9.20,60,77,48.2,27.7,51.9,39.0
7/12/19,370.5,399.5,358.25,360.75,356,9.32,64,80,47.9,27.2,51.5,38.7
7/11/19,364.5,396.5,352.25,355.75,349.75,9.17,60,84,46.6,26.5,50.0,38.2
7/10/19,365.25,392.75,351.75,355,348.75,9.13,57,82,45.3,25.9,48.5,36.7
7/9/19,,389.5,347.25,350.5,344,9.04,53,81,44.7,25.4,47.8,35.9
7/8/19,358.5,388,345,349,342.75,8.98,56,83,44.2,25.0,47.3,35.5
7/5/19,359,392.75,345,349.5,342.75,8.95,57,84,43.8,24.6,46.7,35.2
7/3/19,,392.75,,,,9.09,70,84,41.3,23.0,44.0,32.3
7/2/19,363.5,391.25,348.25,353.5,346.25,8.99,70,84,40.5,22.6,43.1,32.2
7/1/19,360,392.75,345,350.5,343.25,9.09,64,85,39.9,22.2,42.4,31.4
6/28/19,361.5,399.75,347.25,353.75,346.25,9.23,65,77,39.4,21.9,41.8,33.1
6/27/19,369.25,398,351.75,358.25,349,8.88,65,113,38.8,21.5,41.2,32.5
6/26/19,367,400.25,348.25,355,345,8.94,67,112,38.1,21.2,40.3,31.8
6/25/19,373.25,401.25,352.25,359,350.25,9.04,74,113,37.4,21.0,39.5,31.4
6/24/19,376.25,401.25,354.25,360.75,351.25,9.09,60,96,37.0,20.8,39.0,30.8
6/21/19,374,397.5,356,363.5,353,9.03,55,98,36.6,20.6,38.5,30.4
6/20/19,372.25,403,355.25,362.75,352.25,9.16,57,#N/A,36.5,20.5,38.4,30.3
6/19/19,,397.25,358.25,364.5,355.75,9.03,59,96,36.4,20.7,38.3,30.2
6/18/19,369.75,403,354.25,360.5,351.25,9.14,57,111,36.6,20.7,38.5,30.1
6/17/19,372.5,407,356,363.75,353,9.13,68,104,36.8,20.8,38.7,30.3
6/14/19,378.5,402,355.75,363.5,353.75,8.97,66,113,37.3,21.0,39.3,30.4
6/13/19,369.75,397.5,356,356,348.25,8.88,60,121,37.3,21.0,39.3,31.0
6/12/19,369.25,394.25,351.75,353.5,345,8.78,56,123,37.6,21.2,39.7,31.0
6/11/19,365.5,391.25,348,350.5,341,8.59,53,130,37.9,21.4,40.0,31.4
6/10/19,363.5,392,341.75,344.25,334.75,8.59,55,133,37.9,21.5,40.1,31.7
6/7/19,364.75,392,343.25,346.75,335.5,8.56,60,127,38.0,21.5,40.2,31.7
6/6/19,361.5,393.25,340.25,340.25,333.75,8.69,54,133,38.5,21.6,40.7,31.9
6/5/19,367,393.25,345,345,337,8.70,48,92,38.5,21.9,40.7,32.3
6/4/19,366.25,395.75,345,345,335.75,8.82,45,103,38.8,22.1,41.0,32.3
6/3/19,366,393.5,346.5,350.25,340.25,8.79,47,113,39.3,22.3,41.6,32.5
5/31/19,362.75,393.25,344.75,348.25,337.25,8.78,51,98,39.7,22.4,42.1,33.0
5/30/19,364.75,397.25,344.25,352.25,342,8.89,52,96,39.7,22.5,42.1,33.4
5/29/19,364.5,392,343.25,351.25,341,8.72,55,101,39.8,22.6,42.2,33.3
5/28/19,364.5,392,342.5,349.75,340.5,8.56,61,113,39.7,22.5,42.1,33.3
5/24/19,360,388,330.25,340.5,327.5,8.30,60,123,39.7,22.4,42.2,33.1
5/23/19,352,378,322.25,331,318.5,8.22,50,122,39.9,22.4,42.4,33.2
5/22/19,349.5,377.75,319.75,329.25,316.75,8.29,50,108,39.7,22.3,42.2,33.4
5/21/19,348,372.5,322,333,318.25,8.22,52,102,39.6,22.3,42.1,33.3
5/20/19,343.25,376.75,320.5,331.5,316.75,8.32,40,103,39.6,22.2,42.1,33.3
5/17/19,346.25,371,322,333,317.5,8.22,40,107,39.5,22.2,41.9,33.3
5/16/19,345.5,375.25,319.25,331.5,316.25,8.40,37,104,39.4,22.2,41.8,33.1
5/15/19,347.5,373.25,322.5,335.5,319.75,8.36,36,97,39.2,22.3,41.7,33.0
5/14/19,341.25,366.25,321.5,336.25,317.75,8.32,35,87,39.2,22.2,41.6,32.8
5/13/19,336.25,364.25,319.25,334,315.75,8.03,38,101,39.0,22.1,41.4,32.8
5/10/19,328.5,358.25,308,322.5,304.25,8.09,40,85,38.7,21.9,41.1,32.6
5/9/19,325.5,359.75,314.5,328,310,8.13,38,92,39.1,22.0,41.5,32.4
5/8/19,325.5,353.75,315.25,328.75,310.75,8.27,35,78,39.0,22.0,41.4,32.2
5/7/19,326,357.5,320.5,334,316,8.31,35,63,39.0,22.0,41.4,32.4
5/3/19,327.75,358.25,322,335.5,319.25,8.42,34,50,39.1,22.0,41.5,32.7
5/2/19,327.5,354.25,326.25,340,321.5,8.43,40,48,39.1,22.0,41.6,32.8
5/1/19,327,,326.75,340.25,321.5,8.52,32,#N/A,39.2,22.1,41.7,32.9
4/30/19,,355.25,323.25,340.5,322,8.54,43,63,39.1,22.0,41.6,32.9
4/29/19,327,357.5,325.5,342.75,323.75,8.61,41,11,39.4,22.1,41.9,32.9
4/26/19,333.25,360,331,348.25,327,8.67,41,50,39.8,22.2,42.4,33.2
4/25/19,334,360.5,332.5,349.75,328.5,8.73,40,42,39.2,22.1,41.7,33.5
4/24/19,334,360,333.75,351,329.5,8.55,36,37,39.2,22.1,41.7,32.9
4/23/19,333.75,362,332.5,349.75,328.5,8.62,34,40,39.0,22.0,41.5,32.8
